Year,Extent,Global CO2,Temp Diff From Average
1978,12.487,335.41499999999996,0.07
1979,12.319560439560446,336.83500000000004,0.16
1980,12.3341475409836,338.7625,0.26
1981,12.135486338797817,340.12,0.32
1982,12.43944505494506,341.4783333333334,0.14
1983,12.335896174863388,343.15333333333325,0.31
1984,11.912601092896175,344.8675,0.16
1985,11.986598901098898,346.3516666666667,0.12
1986,12.208224043715852,347.60833333333335,0.18
1987,11.39722727272727,349.31166666666667,0.32
1988,12.093169491525419,351.69000000000005,0.39
1989,11.966854794520543,353.2050000000001,0.27
1990,11.693841095890404,354.45250000000004,0.45
1991,11.749257534246569,355.70416666666665,0.4
1992,12.11048087431694,356.54583333333335,0.22
1993,11.92305205479452,357.2149999999999,0.23
1994,12.011317808219184,358.95916666666676,0.31
1995,11.415109589041096,360.9683333333333,0.44
1996,11.840786885245905,362.7433333333334,0.32
1997,11.667613698630138,363.87750000000005,0.46
1998,11.75738082191781,366.84,0.6
1999,11.691465753424655,368.53999999999996,0.38
2000,11.508174863387978,369.7075,0.39
2001,11.600016438356166,371.31916666666666,0.53
2002,11.362865753424662,373.45250000000004,0.62
2003,11.397221917808208,375.98333333333335,0.61
2004,11.240434426229513,377.6983333333333,0.53
2005,10.906975342465747,379.98333333333335,0.67
2006,10.772613698630131,382.09083333333336,0.63
2007,10.474095890410963,384.0249999999999,0.66
2008,10.977846994535522,385.8308333333334,0.54
2009,10.931969863013702,387.6425,0.65
2010,10.711391780821916,390.1016666666667,0.72
2011,10.483495890410957,391.85083333333336,0.61
2012,10.406098360655747,394.05583333333334,0.65
2013,10.89711506849315,396.73749999999995,0.67
2014,10.790495890410952,398.81249999999994,0.74
2015,10.565816438356164,401.01250000000005,0.9
2016,10.163478142076505,404.41249999999997,1.01
2017,10.392701369863007,406.7583333333334,0.92
2018,10.35504109589041,408.715,0.85
2019,10.20098356164384,411.6541666666665,0.98
2020,10.149868852459017,414.2383333333333,1.02
2021,10.551783561643838,416.4508333333334,0.84
2022,10.634016666666671,418.5641666666666,0.84
